# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: Structural
# Creation date: 09/26/2023 13:25:54
# 
# 09/26/2023 13:25:54
# The parameters defined in the project are:
# ,P1 - SparOuterDiam [mm],P2 - SparInnerDiam [mm],P3 - NgtvAngleofAttack.FD9 [degree],P4 - Mesh Element Size [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4
DP 0,200,190,-5,30
# 
# A non parametric change occurred and invalidated design point results.
# 09/26/2023 15:26:26
# 
# 
# A non parametric change occurred and invalidated design point results.
# 10/06/2023 15:36:02
# 
# 
# 10/06/2023 15:37:28
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - SparOuterDiam [mm],P2 - SparInnerDiam [mm],P5 - AngleOfAttack [degree],P4 - Mesh Element Size [mm],P6 - Maximum Deformation [mm],P7 - Maximum Strain [mm mm^-1],P8 - Mesh Nodes
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P5,P4,P6,P7,P8
DP 0,180,160,5,60,68.451425936834369,0.0022058277390897274,6461
DP 1,180,160,5,50,69.910367523605032,0.0021685438696295023,9407
DP 2,180,160,5,40,70.454186755049278,0.0017892736941576004,14798
DP 3,180,160,5,30,70.2044034189777,0.0018113137921318412,26204
DP 4,180,160,5,20,69.496225047558909,0.0015732620959170163,57785
# 
# A non parametric change occurred and invalidated design point results.
# 10/06/2023 15:49:12
# 
# 
# 10/06/2023 15:50:10
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - SparOuterDiam [mm],P2 - SparInnerDiam [mm],P5 - AngleOfAttack [degree],P4 - Mesh Element Size [mm],P6 - Maximum Deformation [mm],P7 - Maximum Strain [mm mm^-1],P8 - Mesh Nodes,P9 - Safety Factor Minimum
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P5,P4,P6,P7,P8,P9
DP 1,180,160,5,50,69.910367523605032,0.0021685438696295023,9407,3.2215677903700826
DP 2,180,160,5,40,70.454186755049278,0.0017892736941576004,14798,3.904439749307949
DP 3,180,160,5,30,70.2044034189777,0.0018113137921318412,26204,3.8569304934073112
DP 4,180,160,5,20,69.496225047558909,0.0015732620959170163,57785,4.4453035559419734
DP 5,180,160,5,80,52.106611576876269,0.0013053328730165958,4622,5.3789182207990436
DP 6,180,160,5,70,57.198279566840405,0.0017531135235913098,5365,4.12676957351789
DP 7,180,160,5,100,54.402787444698525,0.0010055260499939322,3440,7.0325015437365543
DP 8,180,160,5,90,47.274926595559648,0.000993851339444518,4244,7.0393738202646094
# 
# A non parametric change occurred and invalidated design point results.
# 10/06/2023 16:38:54
# 
# 
# A non parametric change occurred and invalidated design point results.
# 10/09/2023 10:21:19
# 
# 
# 10/09/2023 13:51:01
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - SparOuterDiam [mm],P2 - SparInnerDiam [mm],P5 - AngleOfAttack [degree],P4 - Mesh Element Size [mm],P6 - Maximum Deformation [mm],P7 - Maximum Strain [mm mm^-1]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P5,P4,P6,P7
DP 0,180,160,5,30,161.67346694366677,0.0041793417185544968
DP 1,180,165,5,30,192.52120975129588,0.0051177814602851868
# 
# A non parametric change occurred and invalidated design point results.
# 10/09/2023 13:53:19
# 
# 
# 10/09/2023 13:55:00
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - SparOuterDiam [mm],P2 - SparInnerDiam [mm],P5 - AngleOfAttack [degree],P4 - Mesh Element Size [mm],P6 - Maximum Deformation [mm],P7 - Maximum Strain [mm mm^-1],P8 - Equivalent Stress Maximum [MPa],P9 - Safety Factor Minimum
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P5,P4,P6,P7,P8,P9
DP 1,180,165,5,30,192.52120975129588,0.0051177814602851868,368.4802489043945,1.3650663814290569
DP 2,180,170,5,30,249.76576951909036,0.0078059220686554909,562.02637182724641,0.8949757968912716
DP 3,180,175,5,30,390.56371609863464,0.011775205843150616,847.81486828314155,0.593289901860998
DP 4,190,170,5,30,142.73454119467968,0.0036438398528844118,262.35648013256429,1.9172387117933689
DP 5,190,175,5,30,169.77823401479361,0.0044130529277026653,317.73980956144476,1.5830562770659982
DP 6,190,180,5,30,220.71133980980517,0.0070253903977572918,505.82810418650217,0.99440896193174078
DP 7,190,185,5,30,348.18212916134911,0.011067303828895092,796.84594037227282,0.63123870564617168
DP 8,200,180,5,30,127.06850707461855,0.0033094605896621943,238.28116727203468,2.1109515525654108
DP 9,200,185,5,30,151.14883005743064,0.003943311981856823,283.91846307283038,1.7716354003753925
DP 10,200,190,5,30,157.47807604967778,0.019418608862906694,1216.0915337850258,0.41362018073955081
DP 11,200,195,5,30,311.29410939950048,0.00978894904255867,704.80427683409835,0.7136733083678487
DP 12,210,190,5,30,50.774143739397132,0.0019822559261228889,181.03907230283855,1.3809173722554489
DP 13,210,195,5,30,55.699919759097988,0.0019387251813896,282.93076211431026,0.8836084069889667
