Mesh Type,Mesh size (mm),Mesh Nodes,Max Strain,Max Deformation,Min Safety Factor
Linear,100,3440,0.002354152,127.3651698,3.00381357
Linear,90,4237,0.002304939,110.6740295,3.006912932
Linear,80,4620,0.003080991,121.9968987,2.278843488
Linear,70,5367,0.004105016,133.9185965,1.762181986
Linear,60,6461,0.005165841,160.2668937,1.352366478
Linear,50,9407,0.005077445,163.6828259,1.375910719
Linear,40,14798,0.004190848,164.9559973,1.666992191
Linear,30,26204,0.004241233,164.3712356,1.647188552
Linear,20,57785,0.003684053,162.7130809,1.898357567
Quadratic,75,19081,0.005740116,144.0485113,1.221716012
Quadratic,62.5,25473,0.007120916,154.1644445,0.98199798
Quadratic,50,29975,0.004604966,161.4828257,1.520271663
Quadratic,37.5,51880,0.004704748,161.8851433,1.487091598
Quadratic,25,119614,0.004961803,162.0999598,1.408524731
