[Name],,,
Series 1 at Polyline 1,,,
,,,
[Data],,,
X [ m ],Pressure [ Pa ],,
1.57E+00,4.37E+02,,
1.55E+00,4.58E+02,,
1.53E+00,4.79E+02,,
1.51E+00,4.95E+02,,
1.49E+00,5.06E+02,,
1.47E+00,5.14E+02,,
1.45E+00,5.16E+02,,
1.43E+00,5.13E+02,,
1.41E+00,5.05E+02,,
1.39E+00,4.92E+02,,
1.37E+00,4.76E+02,,
1.35E+00,4.55E+02,,
1.33E+00,4.30E+02,,
1.31E+00,4.02E+02,,
1.29E+00,3.70E+02,,
1.27E+00,3.33E+02,,
1.25E+00,2.81E+02,,
1.23E+00,2.04E+02,,
1.21E+00,9.63E+01,,
1.19E+00,-3.67E+01,,
1.17E+00,-1.79E+02,,
1.15E+00,-3.12E+02,,
1.13E+00,-4.12E+02,,
1.11E+00,-4.62E+02,,
1.09E+00,-4.73E+02,,
1.07E+00,-4.73E+02,,
1.05E+00,-4.79E+02,,
1.03E+00,-4.87E+02,,
1.01E+00,-4.92E+02,,
9.91E-01,-4.92E+02,,
9.71E-01,-4.90E+02,,
9.51E-01,-4.88E+02,,
9.31E-01,-4.88E+02,,
9.11E-01,-4.88E+02,,
8.91E-01,-4.86E+02,,
8.71E-01,-4.82E+02,,
8.50E-01,-4.78E+02,,
8.30E-01,-4.75E+02,,
8.10E-01,-4.72E+02,,
7.90E-01,-4.71E+02,,
7.70E-01,-4.71E+02,,
7.50E-01,-4.72E+02,,
7.30E-01,-4.72E+02,,
7.10E-01,-4.72E+02,,
6.90E-01,-4.72E+02,,
6.69E-01,-4.70E+02,,
6.49E-01,-4.68E+02,,
6.29E-01,-4.66E+02,,
6.09E-01,-4.63E+02,,
5.89E-01,-4.60E+02,,
5.69E-01,-4.55E+02,,
5.49E-01,-4.50E+02,,
5.29E-01,-4.45E+02,,
5.09E-01,-4.41E+02,,
4.89E-01,-4.37E+02,,
4.68E-01,-4.33E+02,,
4.48E-01,-4.29E+02,,
4.28E-01,-4.26E+02,,
4.08E-01,-4.23E+02,,
3.88E-01,-4.19E+02,,
3.68E-01,-4.16E+02,,
3.48E-01,-4.12E+02,,
3.28E-01,-4.07E+02,,
3.08E-01,-4.02E+02,,
2.88E-01,-3.97E+02,,
2.68E-01,-3.94E+02,,
2.48E-01,-3.90E+02,,
2.28E-01,-3.85E+02,,
2.08E-01,-3.81E+02,,
1.88E-01,-3.76E+02,,
1.68E-01,-3.69E+02,,
1.48E-01,-3.62E+02,,
1.28E-01,-3.60E+02,,
1.08E-01,-3.59E+02,,
8.81E-02,-3.38E+02,,
6.84E-02,-3.35E+02,,
4.88E-02,-4.82E+02,,
2.94E-02,-6.21E+02,,
1.09E-02,4.72E+02,,
0.00E+00,1.97E+03,,
4.80E-03,1.68E+03,,
1.81E-02,3.83E+02,,
3.48E-02,-3.49E+02,,
5.27E-02,-5.05E+02,,
7.12E-02,-5.91E+02,,
9.00E-02,-7.03E+02,,
1.09E-01,-7.90E+02,,
1.28E-01,-8.44E+02,,
1.48E-01,-8.82E+02,,
1.67E-01,-9.13E+02,,
1.87E-01,-9.37E+02,,
2.06E-01,-9.57E+02,,
2.26E-01,-9.76E+02,,
2.45E-01,-1.00E+03,,
2.65E-01,-1.03E+03,,
2.85E-01,-1.05E+03,,
3.05E-01,-1.08E+03,,
3.24E-01,-1.11E+03,,
3.44E-01,-1.13E+03,,
3.64E-01,-1.15E+03,,
3.84E-01,-1.17E+03,,
4.04E-01,-1.19E+03,,
4.24E-01,-1.21E+03,,
4.44E-01,-1.22E+03,,
4.64E-01,-1.24E+03,,
4.84E-01,-1.25E+03,,
5.04E-01,-1.26E+03,,
5.24E-01,-1.27E+03,,
5.44E-01,-1.29E+03,,
5.64E-01,-1.30E+03,,
5.84E-01,-1.31E+03,,
6.04E-01,-1.33E+03,,
6.24E-01,-1.33E+03,,
6.44E-01,-1.34E+03,,
6.64E-01,-1.35E+03,,
6.84E-01,-1.36E+03,,
7.04E-01,-1.37E+03,,
7.24E-01,-1.37E+03,,
7.44E-01,-1.38E+03,,
7.64E-01,-1.39E+03,,
7.84E-01,-1.40E+03,,
8.04E-01,-1.41E+03,,
8.24E-01,-1.41E+03,,
8.44E-01,-1.42E+03,,
8.64E-01,-1.42E+03,,
8.84E-01,-1.43E+03,,
9.04E-01,-1.43E+03,,
9.24E-01,-1.44E+03,,
9.44E-01,-1.44E+03,,
9.64E-01,-1.44E+03,,
9.84E-01,-1.44E+03,,
1.00E+00,-1.44E+03,,
1.02E+00,-1.44E+03,,
1.04E+00,-1.44E+03,,
1.06E+00,-1.43E+03,,
1.08E+00,-1.43E+03,,
1.10E+00,-1.42E+03,,
1.12E+00,-1.39E+03,,
1.14E+00,-1.34E+03,,
1.16E+00,-1.25E+03,,
1.18E+00,-1.11E+03,,
1.20E+00,-9.48E+02,,
1.22E+00,-7.68E+02,,
1.24E+00,-5.95E+02,,
1.26E+00,-4.43E+02,,
1.28E+00,-3.12E+02,,
1.30E+00,-1.99E+02,,
1.32E+00,-1.01E+02,,
1.33E+00,-1.52E+01,,
1.35E+00,5.98E+01,,
1.37E+00,1.25E+02,,
1.39E+00,1.81E+02,,
1.41E+00,2.29E+02,,
1.43E+00,2.71E+02,,
1.45E+00,3.10E+02,,
1.47E+00,3.44E+02,,
1.49E+00,3.74E+02,,
1.51E+00,4.01E+02,,
1.53E+00,4.26E+02,,
1.55E+00,4.47E+02,,
1.57E+00,4.67E+02,,
1.59E+00,4.67E+02,,
1.61E+00,4.11E+02,,
1.59E+00,3.97E+02,,
1.57E+00,4.37E+02,,
undef, undef,,
1.55E+00,4.58E+02,,
1.53E+00,4.79E+02,,
1.51E+00,4.95E+02,,
1.49E+00,5.06E+02,,
1.47E+00,5.14E+02,,
1.45E+00,5.16E+02,,
1.43E+00,5.13E+02,,
1.41E+00,5.05E+02,,
1.39E+00,4.92E+02,,
1.37E+00,4.76E+02,,
1.35E+00,4.55E+02,,
1.33E+00,4.30E+02,,
1.31E+00,4.02E+02,,
1.29E+00,3.70E+02,,
1.27E+00,3.33E+02,,
1.25E+00,2.81E+02,,
1.23E+00,2.04E+02,,
1.21E+00,9.63E+01,,
1.19E+00,-3.67E+01,,
1.17E+00,-1.79E+02,,
1.15E+00,-3.12E+02,,
1.13E+00,-4.12E+02,,
1.11E+00,-4.62E+02,,
1.09E+00,-4.73E+02,,
1.07E+00,-4.73E+02,,
1.05E+00,-4.79E+02,,
1.03E+00,-4.87E+02,,
1.01E+00,-4.92E+02,,
9.91E-01,-4.92E+02,,
9.71E-01,-4.90E+02,,
9.51E-01,-4.88E+02,,
9.31E-01,-4.88E+02,,
9.11E-01,-4.88E+02,,
8.91E-01,-4.86E+02,,
8.71E-01,-4.82E+02,,
8.50E-01,-4.78E+02,,
8.30E-01,-4.75E+02,,
8.10E-01,-4.72E+02,,
7.90E-01,-4.71E+02,,
7.70E-01,-4.71E+02,,
7.50E-01,-4.72E+02,,
7.30E-01,-4.72E+02,,
7.10E-01,-4.72E+02,,
6.90E-01,-4.72E+02,,
6.69E-01,-4.70E+02,,
6.49E-01,-4.68E+02,,
6.29E-01,-4.66E+02,,
6.09E-01,-4.63E+02,,
5.89E-01,-4.60E+02,,
5.69E-01,-4.55E+02,,
5.49E-01,-4.50E+02,,
5.29E-01,-4.45E+02,,
5.09E-01,-4.41E+02,,
4.89E-01,-4.37E+02,,
4.68E-01,-4.33E+02,,
4.48E-01,-4.29E+02,,
4.28E-01,-4.26E+02,,
4.08E-01,-4.23E+02,,
3.88E-01,-4.19E+02,,
3.68E-01,-4.16E+02,,
3.48E-01,-4.12E+02,,
3.28E-01,-4.07E+02,,
3.08E-01,-4.02E+02,,
2.88E-01,-3.97E+02,,
2.68E-01,-3.94E+02,,
2.48E-01,-3.90E+02,,
2.28E-01,-3.85E+02,,
2.08E-01,-3.81E+02,,
1.88E-01,-3.76E+02,,
1.68E-01,-3.69E+02,,
1.48E-01,-3.62E+02,,
1.28E-01,-3.60E+02,,
1.08E-01,-3.59E+02,,
8.81E-02,-3.38E+02,,
6.84E-02,-3.35E+02,,
4.88E-02,-4.82E+02,,
2.94E-02,-6.21E+02,,
1.09E-02,4.72E+02,,
0.00E+00,1.97E+03,,
4.80E-03,1.68E+03,,
1.81E-02,3.83E+02,,
3.48E-02,-3.49E+02,,
5.27E-02,-5.05E+02,,
7.12E-02,-5.91E+02,,
9.00E-02,-7.03E+02,,
1.09E-01,-7.90E+02,,
1.28E-01,-8.44E+02,,
1.48E-01,-8.82E+02,,
1.67E-01,-9.13E+02,,
1.87E-01,-9.37E+02,,
2.06E-01,-9.57E+02,,
2.26E-01,-9.76E+02,,
2.45E-01,-1.00E+03,,
2.65E-01,-1.03E+03,,
2.85E-01,-1.05E+03,,
3.05E-01,-1.08E+03,,
3.24E-01,-1.11E+03,,
3.44E-01,-1.13E+03,,
3.64E-01,-1.15E+03,,
3.84E-01,-1.17E+03,,
4.04E-01,-1.19E+03,,
4.24E-01,-1.21E+03,,
4.44E-01,-1.22E+03,,
4.64E-01,-1.24E+03,,
4.84E-01,-1.25E+03,,
5.04E-01,-1.26E+03,,
5.24E-01,-1.27E+03,,
5.44E-01,-1.29E+03,,
5.64E-01,-1.30E+03,,
5.84E-01,-1.31E+03,,
6.04E-01,-1.33E+03,,
6.24E-01,-1.33E+03,,
6.44E-01,-1.34E+03,,
6.64E-01,-1.35E+03,,
6.84E-01,-1.36E+03,,
7.04E-01,-1.37E+03,,
7.24E-01,-1.37E+03,,
7.44E-01,-1.38E+03,,
7.64E-01,-1.39E+03,,
7.84E-01,-1.40E+03,,
8.04E-01,-1.41E+03,,
8.24E-01,-1.41E+03,,
8.44E-01,-1.42E+03,,
8.64E-01,-1.42E+03,,
8.84E-01,-1.43E+03,,
9.04E-01,-1.43E+03,,
9.24E-01,-1.44E+03,,
9.44E-01,-1.44E+03,,
9.64E-01,-1.44E+03,,
9.84E-01,-1.44E+03,,
1.00E+00,-1.44E+03,,
1.02E+00,-1.44E+03,,
1.04E+00,-1.44E+03,,
1.06E+00,-1.43E+03,,
1.08E+00,-1.43E+03,,
1.10E+00,-1.42E+03,,
1.12E+00,-1.39E+03,,
1.14E+00,-1.34E+03,,
1.16E+00,-1.25E+03,,
1.18E+00,-1.11E+03,,
1.20E+00,-9.48E+02,,
1.22E+00,-7.68E+02,,
1.24E+00,-5.95E+02,,
1.26E+00,-4.43E+02,,
1.28E+00,-3.12E+02,,
1.30E+00,-1.99E+02,,
1.32E+00,-1.01E+02,,
1.33E+00,-1.52E+01,,
1.35E+00,5.98E+01,,
1.37E+00,1.25E+02,,
1.39E+00,1.81E+02,,
1.41E+00,2.29E+02,,
1.43E+00,2.71E+02,,
1.45E+00,3.10E+02,,
1.47E+00,3.44E+02,,
1.49E+00,3.74E+02,,
1.51E+00,4.01E+02,,
1.53E+00,4.26E+02,,
1.55E+00,4.47E+02,,
1.57E+00,4.67E+02,,
1.59E+00,4.67E+02,,
1.61E+00,4.11E+02,,
1.59E+00,3.97E+02,,
