[Name],,
Series 1 at Polyline 1,,
,,
[Data],,
X [ m ],,Pressure [ Pa ]
1.56E+00,,-5.86E+01
1.54E+00,,6.95E+01
1.52E+00,,1.73E+02
1.50E+00,,2.58E+02
1.48E+00,,3.24E+02
1.46E+00,,3.77E+02
1.44E+00,,4.16E+02
1.42E+00,,4.44E+02
1.40E+00,,4.63E+02
1.38E+00,,4.74E+02
1.36E+00,,4.79E+02
1.34E+00,,4.77E+02
1.32E+00,,4.70E+02
1.30E+00,,4.61E+02
1.28E+00,,4.51E+02
1.26E+00,,4.36E+02
1.24E+00,,4.01E+02
1.22E+00,,3.30E+02
1.20E+00,,2.18E+02
1.18E+00,,8.63E+01
1.16E+00,,-4.72E+01
1.14E+00,,-1.64E+02
1.12E+00,,-2.36E+02
1.10E+00,,-2.47E+02
1.08E+00,,-2.20E+02
1.06E+00,,-1.87E+02
1.04E+00,,-1.63E+02
1.02E+00,,-1.44E+02
9.97E-01,,-1.23E+02
9.77E-01,,-9.73E+01
9.57E-01,,-7.00E+01
9.37E-01,,-4.36E+01
9.17E-01,,-1.95E+01
8.97E-01,,4.04E+00
8.77E-01,,2.90E+01
8.57E-01,,5.55E+01
8.37E-01,,8.26E+01
8.17E-01,,1.09E+02
7.97E-01,,1.34E+02
7.77E-01,,1.58E+02
7.57E-01,,1.82E+02
7.38E-01,,2.05E+02
7.18E-01,,2.28E+02
6.98E-01,,2.52E+02
6.78E-01,,2.77E+02
6.58E-01,,3.03E+02
6.39E-01,,3.30E+02
6.19E-01,,3.58E+02
5.99E-01,,3.86E+02
5.79E-01,,4.15E+02
5.60E-01,,4.46E+02
5.40E-01,,4.78E+02
5.20E-01,,5.10E+02
5.00E-01,,5.43E+02
4.81E-01,,5.77E+02
4.61E-01,,6.12E+02
4.41E-01,,6.47E+02
4.22E-01,,6.84E+02
4.02E-01,,7.22E+02
3.83E-01,,7.62E+02
3.63E-01,,8.04E+02
3.44E-01,,8.48E+02
3.24E-01,,8.94E+02
3.04E-01,,9.44E+02
2.85E-01,,9.97E+02
2.66E-01,,1.05E+03
2.46E-01,,1.11E+03
2.27E-01,,1.18E+03
2.07E-01,,1.25E+03
1.88E-01,,1.32E+03
1.69E-01,,1.41E+03
1.50E-01,,1.51E+03
1.30E-01,,1.62E+03
1.11E-01,,1.74E+03
9.25E-02,,1.88E+03
7.37E-02,,2.05E+03
5.52E-02,,2.27E+03
3.71E-02,,2.39E+03
2.02E-02,,1.61E+03
1.24E-02,,-2.45E+03
2.04E-02,,-6.86E+03
3.61E-02,,-7.61E+03
5.45E-02,,-6.52E+03
7.37E-02,,-5.55E+03
9.32E-02,,-5.09E+03
1.13E-01,,-4.71E+03
1.33E-01,,-4.35E+03
1.53E-01,,-4.05E+03
1.73E-01,,-3.82E+03
1.93E-01,,-3.62E+03
2.13E-01,,-3.45E+03
2.33E-01,,-3.31E+03
2.53E-01,,-3.18E+03
2.73E-01,,-3.07E+03
2.93E-01,,-2.98E+03
3.13E-01,,-2.90E+03
3.33E-01,,-2.82E+03
3.53E-01,,-2.76E+03
3.73E-01,,-2.69E+03
3.93E-01,,-2.63E+03
4.13E-01,,-2.58E+03
4.33E-01,,-2.52E+03
4.53E-01,,-2.47E+03
4.73E-01,,-2.42E+03
4.93E-01,,-2.37E+03
5.13E-01,,-2.33E+03
5.33E-01,,-2.28E+03
5.53E-01,,-2.24E+03
5.73E-01,,-2.19E+03
5.93E-01,,-2.15E+03
6.13E-01,,-2.11E+03
6.33E-01,,-2.07E+03
6.53E-01,,-2.03E+03
6.73E-01,,-1.98E+03
6.92E-01,,-1.94E+03
7.12E-01,,-1.90E+03
7.32E-01,,-1.86E+03
7.52E-01,,-1.82E+03
7.72E-01,,-1.77E+03
7.91E-01,,-1.73E+03
8.11E-01,,-1.68E+03
8.31E-01,,-1.64E+03
8.51E-01,,-1.59E+03
8.70E-01,,-1.54E+03
8.90E-01,,-1.49E+03
9.09E-01,,-1.44E+03
9.29E-01,,-1.38E+03
9.48E-01,,-1.32E+03
9.68E-01,,-1.26E+03
9.87E-01,,-1.20E+03
1.01E+00,,-1.13E+03
1.03E+00,,-1.06E+03
1.05E+00,,-9.92E+02
1.06E+00,,-9.15E+02
1.08E+00,,-8.39E+02
1.10E+00,,-7.65E+02
1.12E+00,,-6.95E+02
1.14E+00,,-6.35E+02
1.16E+00,,-5.87E+02
1.18E+00,,-5.49E+02
1.20E+00,,-5.21E+02
1.21E+00,,-5.03E+02
1.23E+00,,-4.92E+02
1.25E+00,,-4.85E+02
1.27E+00,,-4.81E+02
1.28E+00,,-4.76E+02
1.30E+00,,-4.73E+02
1.32E+00,,-4.70E+02
1.34E+00,,-4.67E+02
1.36E+00,,-4.66E+02
1.37E+00,,-4.65E+02
1.39E+00,,-4.65E+02
1.41E+00,,-4.64E+02
1.43E+00,,-4.62E+02
1.45E+00,,-4.61E+02
1.46E+00,,-4.59E+02
1.48E+00,,-4.55E+02
1.50E+00,,-4.46E+02
1.52E+00,,-4.34E+02
1.54E+00,,-3.97E+02
1.56E+00,,-3.86E+02
1.58E+00,,-4.86E+02
1.60E+00,,-4.42E+02
1.58E+00,,-2.26E+02
1.56E+00,,-5.86E+01
undef,, undef
1.54E+00,,6.95E+01
1.52E+00,,1.73E+02
1.50E+00,,2.58E+02
1.48E+00,,3.24E+02
1.46E+00,,3.77E+02
1.44E+00,,4.16E+02
1.42E+00,,4.44E+02
1.40E+00,,4.63E+02
1.38E+00,,4.74E+02
1.36E+00,,4.79E+02
1.34E+00,,4.77E+02
1.32E+00,,4.70E+02
1.30E+00,,4.61E+02
1.28E+00,,4.51E+02
1.26E+00,,4.36E+02
1.24E+00,,4.01E+02
1.22E+00,,3.30E+02
1.20E+00,,2.18E+02
1.18E+00,,8.63E+01
1.16E+00,,-4.72E+01
1.14E+00,,-1.64E+02
1.12E+00,,-2.36E+02
