[Name]
Series 1 at Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
1.52347064e+00, -2.65687793e+03
1.50454545e+00, -2.02256750e+03
1.48558307e+00, -1.58538159e+03
1.46656919e+00, -1.24444531e+03
1.44749391e+00, -9.87718872e+02
1.42834973e+00, -7.82650269e+02
1.40912986e+00, -6.21818359e+02
1.38983130e+00, -4.91105957e+02
1.37045717e+00, -3.83640106e+02
1.35101187e+00, -2.96783081e+02
1.33150041e+00, -2.24206467e+02
1.31192827e+00, -1.64856842e+02
1.29230094e+00, -1.16259911e+02
1.27262545e+00, -7.28814621e+01
1.25290811e+00, -3.09067707e+01
1.23314309e+00, 4.62851906e+00
1.21331191e+00, 1.16507273e+01
1.19340336e+00, -2.94899006e+01
1.17343903e+00, -1.14275642e+02
1.15345919e+00, -2.19222870e+02
1.13349891e+00, -3.19308777e+02
1.11358833e+00, -3.92595520e+02
1.09375870e+00, -4.11234741e+02
1.07404470e+00, -3.68817078e+02
1.05444157e+00, -2.91381195e+02
1.03491485e+00, -2.10792480e+02
1.01543152e+00, -1.43002914e+02
9.95989740e-01, -8.33152542e+01
9.76594687e-01, -2.38890419e+01
9.57248807e-01, 3.78180389e+01
9.37946379e-01, 9.96848984e+01
9.18680072e-01, 1.58818970e+02
8.99444878e-01, 2.14213287e+02
8.80241394e-01, 2.67291321e+02
8.61071169e-01, 3.21386963e+02
8.41934204e-01, 3.77238770e+02
8.22827041e-01, 4.31832764e+02
8.03745568e-01, 4.83434387e+02
7.84686625e-01, 5.32471863e+02
7.65649915e-01, 5.80225281e+02
7.46635616e-01, 6.27603027e+02
7.27644265e-01, 6.74021729e+02
7.08676934e-01, 7.19674683e+02
6.89735115e-01, 7.65604248e+02
6.70820057e-01, 8.12193848e+02
6.51931763e-01, 8.59321777e+02
6.33070111e-01, 9.06469849e+02
6.14234984e-01, 9.53493652e+02
5.95426798e-01, 1.00079541e+03
5.76646447e-01, 1.04881433e+03
5.57894349e-01, 1.09720654e+03
5.39169788e-01, 1.14588696e+03
5.20471513e-01, 1.19503918e+03
5.01798451e-01, 1.24414917e+03
4.83150870e-01, 1.29332947e+03
4.64529574e-01, 1.34359827e+03
4.45935369e-01, 1.39524878e+03
4.27369416e-01, 1.44676208e+03
4.08832908e-01, 1.49798047e+03
3.90327334e-01, 1.55004102e+03
3.71854752e-01, 1.60375952e+03
3.53417307e-01, 1.65901196e+03
3.35016906e-01, 1.71574646e+03
3.16655219e-01, 1.77483496e+03
2.98334152e-01, 1.83502930e+03
2.80056834e-01, 1.89633191e+03
2.61826932e-01, 1.95945020e+03
2.43650034e-01, 2.02598499e+03
2.25533888e-01, 2.09355127e+03
2.07487300e-01, 2.16144189e+03
