# alpha,Cl,Cd
-8,-0.62,0.02163
-7.75,-0.6022,0.0202
-7.5,-0.5806,0.01953
-7.25,-0.5581,0.01882
-7,-0.5362,0.01756
-6.75,-0.5135,0.01629
-6.5,-0.4893,0.01532
-6.25,-0.464,0.01494
-6,-0.4417,0.0132
-5.75,-0.4175,0.01246
-5.5,-0.3924,0.012
-5.25,-0.3674,0.01152
-5,-0.3422,0.01109
-4.75,-0.3163,0.01077
-4.5,-0.2895,0.01062
-4.25,-0.2674,0.00973
-4,-0.2428,0.00923
-3.75,-0.2166,0.00896
-3.5,-0.19,0.00874
-3.25,-0.163,0.00861
-3,-0.1371,0.00826
-2.75,-0.1103,0.00803
-2.5,-0.0829,0.00789
-2.25,-0.0562,0.00764
-2,-0.0356,0.00651
-1.75,-0.0169,0.00517
-1.5,0.0088,0.00494
-1.25,0.0367,0.00493
-1,0.0646,0.00492
-0.75,0.092,0.00496
-0.5,0.1199,0.00502
-0.25,0.1481,0.00504
0,0.1757,0.00505
0.25,0.2038,0.00509
0.5,0.2317,0.00507
0.75,0.2593,0.00504
1,0.2873,0.00503
1.25,0.315,0.00503
1.5,0.3428,0.00503
1.75,0.3697,0.00503
2,0.3965,0.00505
2.25,0.4224,0.00514
2.5,0.4399,0.00584
2.75,0.4529,0.0071
3,0.4666,0.00833
3.25,0.4868,0.00906
3.5,0.5119,0.00935
3.75,0.5378,0.00953
4,0.5629,0.00976
4.25,0.585,0.01034
4.5,0.6112,0.0105
4.75,0.6358,0.01074
5,0.66,0.01104
5.25,0.6838,0.01141
5.5,0.7039,0.01208
5.75,0.7211,0.01315
6.25,0.7685,0.0138
6.5,0.7909,0.01431
6.75,0.8126,0.01497
7,0.8343,0.01553
7.25,0.8563,0.01618
7.5,0.8768,0.01684
7.75,0.897,0.01779
8,0.9157,0.02044
8.25,0.9369,0.02083
8.5,0.9645,0.02199
8.75,0.9884,0.02378
9,1.0064,0.02596
9.25,1.0232,0.02772
9.5,1.0375,0.02963
9.75,1.0544,0.03027
10,1.0711,0.0307
